naselje,prebivalci_2026,prebivalci_65_2026,zracno_zd_km,cesta_zd_km,voznja_zd_min,voznja_metlika_min,voznja_sbnm_min,zracno_najblizji_aed_km,dostopni_A_srednji_min,dostopni_A_hitra_voznja_min,dostopni_A_pocasna_voznja_min,dostopni_B_druga_ekipa_min
Ogulin,37,12,13.35,17.1,26.1,37.2,66.7,0.45,28.6,22.9,34.3,39.7
Damelj,33,11,15.77,20.4,25.8,47.5,63.4,0.14,28.3,22.6,33.9,50.0
Stari trg ob Kolpi,83,27,12.49,17.7,25.4,42.4,63.1,0.42,27.9,22.3,33.4,44.9
Perudina,61,13,11.81,16.4,25.2,40.4,64.2,2.03,27.7,22.1,33.2,42.9
Marindol,91,29,13.61,15.3,23.7,27.9,57.4,2.36,26.2,20.9,31.4,30.4
Mala sela,18,5,11.31,13.7,23.2,27.4,57.0,0.88,25.7,20.6,30.8,29.9
Vrhovci,54,12,13.12,14.8,22.8,27.0,56.6,1.84,25.3,20.3,30.4,29.5
Velika sela,21,5,10.5,13.1,22.1,26.3,55.9,1.29,24.6,19.7,29.5,28.8
Gorenjci pri Adlešičih,51,15,12.37,14.0,21.7,25.9,55.5,1.01,24.2,19.3,29.0,28.4
Podbrežje,,,10.92,12.8,20.4,24.6,54.2,1.02,22.9,18.3,27.5,27.1
Dragoši,26,4,8.91,12.9,20.2,17.5,47.1,1.94,22.7,18.2,27.2,20.0
Adlešiči,106,35,11.51,13.0,20.1,24.3,53.9,0.13,22.6,18.0,27.1,26.8
Drenovec,133,40,13.17,17.2,19.4,38.0,57.1,0.74,21.9,17.5,26.3,40.5
Bojanci,77,23,9.43,12.3,19.2,37.8,58.2,4.81,21.7,17.3,26.0,40.3
Drežnik,35,11,12.45,15.6,18.8,43.8,56.5,3.36,21.3,17.1,25.6,46.3
Hrast pri Vinici,182,31,10.99,15.9,18.6,41.7,56.3,3.02,21.1,16.9,25.3,44.2
Purga,25,8,10.72,12.1,18.6,22.8,52.4,0.73,21.1,16.9,25.4,25.3
Šipek,22,6,6.21,7.8,18.6,34.9,54.6,0.86,21.1,16.8,25.3,37.4
Knežina,34,6,8.37,12.9,18.4,35.5,56.1,3.16,20.9,16.7,25.1,38.0
Črešnjevec pri Dragatušu,6,0,7.45,12.8,18.2,35.3,55.9,2.07,20.7,16.6,24.9,37.8
Fučkovci,37,9,9.11,11.7,18.1,18.7,48.2,2.88,20.6,16.5,24.7,21.2
Nova Lipa,85,24,11.49,14.6,17.4,42.3,55.1,3.84,19.9,15.9,23.9,44.8
Zapudje,76,20,8.37,11.2,17.4,34.5,55.1,0.07,19.9,16.0,23.9,37.0
Dolenjci,87,23,9.59,10.8,16.7,20.9,50.5,1.94,19.2,15.4,23.1,23.4
Belčji Vrh,99,22,8.81,12.1,16.4,33.4,54.0,3.4,18.9,15.1,22.6,35.9
Jankoviči,51,11,8.93,10.2,16.3,22.5,52.1,2.54,18.8,15.1,22.6,25.0
Pribinci,51,22,7.57,9.7,16.3,26.6,56.2,2.03,18.8,15.0,22.5,29.1
Brdarci,33,10,5.78,10.3,15.8,34.7,53.4,0.64,18.3,14.6,21.9,37.2
Mala Lahinja,21,0,7.81,11.7,15.8,32.9,53.5,2.33,18.3,14.6,21.9,35.4
Miklarji,0,0,7.13,11.4,15.6,32.7,54.0,2.95,18.1,14.5,21.7,35.2
Stara Lipa,88,22,10.26,13.1,15.2,42.3,52.9,3.63,17.7,14.2,21.3,44.8
Gornji Suhor pri Vinici,50,9,9.45,11.9,14.9,32.0,52.6,2.28,17.4,14.0,20.9,34.5
Bedenj,70,26,7.96,9.0,14.4,23.4,52.9,2.4,16.9,13.5,20.3,25.9
Podlog,57,15,5.47,9.5,13.9,31.0,51.6,0.12,16.4,13.1,19.7,33.5
Pusti Gradec,26,7,6.56,10.1,13.9,31.0,51.6,1.05,16.4,13.1,19.7,33.5
Velika Lahinja,37,12,4.63,5.6,13.5,29.9,52.5,0.84,16.0,12.8,19.2,32.4
Dolenji Suhor pri Vinici,34,6,8.94,11.2,13.4,30.5,51.1,2.3,15.9,12.7,19.1,33.0
Mali Nerajec,46,10,8.28,10.6,13.0,30.1,50.7,2.09,15.5,12.4,18.6,32.6
Golek,35,9,4.38,8.1,12.9,30.0,50.6,1.62,15.4,12.3,18.5,32.5
Obrh pri Dragatušu,87,21,6.91,8.7,12.9,29.9,50.5,1.08,15.4,12.3,18.4,32.4
Veliki Nerajec,75,16,7.34,9.8,12.8,29.9,50.5,1.5,15.3,12.2,18.3,32.4
Bistrica,1,0,5.54,8.9,12.7,29.8,51.1,2.42,15.2,12.2,18.3,32.3
Rodine,137,32,4.23,6.1,12.2,28.7,43.6,4.43,14.7,11.8,17.7,31.2
Dragatuš,209,62,5.98,8.5,11.7,28.7,49.3,0.15,14.2,11.3,17.0,31.2
Zorenci,23,5,4.24,5.2,11.6,28.0,50.6,0.47,14.1,11.3,16.9,30.5
Breznik,24,9,6.42,7.8,11.5,28.6,49.2,1.35,14.0,11.2,16.8,31.1
Tribuče,314,78,5.87,6.8,11.2,28.1,50.2,0.28,13.7,11.0,16.5,30.6
Cerkvišče,57,20,6.03,8.7,10.8,15.0,44.6,2.2,13.3,10.6,15.9,17.5
Griblje,329,73,8.18,10.2,10.5,14.0,43.6,0.03,13.0,10.4,15.6,16.5
Naklo,52,15,3.87,5.8,10.5,27.6,43.4,3.92,13.0,10.4,15.6,30.1
Butoraj,127,29,3.81,4.6,10.2,26.6,49.2,0.04,12.7,10.1,15.2,29.1
Sela pri Dragatušu,72,21,5.08,6.9,9.9,27.0,47.6,1.0,12.4,9.9,14.9,29.5
Mavrlen,85,23,3.76,5.8,9.4,26.4,47.7,1.53,11.9,9.5,14.2,28.9
Talčji Vrh,29,10,2.4,4.8,9.2,25.1,39.9,2.66,11.7,9.3,14.0,27.6
Zastava,21,11,3.89,5.3,9.2,17.4,47.8,3.15,11.7,9.3,14.0,19.9
Tanča Gora,241,61,5.26,6.0,9.1,26.1,46.8,0.14,11.6,9.3,13.9,28.6
Pavičiči,23,4,4.08,6.3,9.0,21.0,48.0,3.39,11.5,9.2,13.8,23.5
Grič pri Dobličah,82,17,4.63,5.9,8.8,25.9,46.5,0.07,11.3,9.1,13.6,28.4
Rožič Vrh,52,13,3.87,5.0,8.5,25.6,45.1,3.39,11.0,8.8,13.2,28.1
Doblička Gora,83,21,4.33,5.7,8.2,25.3,45.9,0.59,10.7,8.6,12.8,27.8
Stražnji Vrh,198,44,3.7,4.9,7.9,24.9,46.3,2.54,10.4,8.3,12.4,27.4
Ručetna vas,137,33,5.36,6.0,7.8,25.0,34.1,5.24,10.3,8.2,12.3,27.5
Dragovanja vas,104,25,4.55,5.4,7.6,24.7,45.3,1.01,10.1,8.1,12.1,27.2
Mihelja vas,41,9,4.92,5.7,7.6,25.6,34.7,4.82,10.1,8.1,12.1,28.1
Jerneja vas,51,13,3.88,4.6,7.4,24.4,45.0,0.99,9.9,7.9,11.8,26.9
Rožanec,50,9,4.0,4.5,7.3,26.5,35.6,3.94,9.8,7.8,11.7,29.0
Desinec,61,14,4.2,5.1,7.2,20.8,46.2,1.7,9.7,7.8,11.6,23.3
Petrova vas,100,23,4.55,5.1,7.2,26.2,35.3,4.49,9.7,7.8,11.7,28.7
Gorenja Paka,,,4.19,4.7,7.1,26.7,35.8,4.0,9.6,7.7,11.6,29.2
Jelševnik,133,27,3.18,4.1,7.1,24.2,45.5,1.45,9.6,7.7,11.5,26.7
Sela pri Otovcu,64,13,3.2,3.9,6.9,23.4,38.2,3.26,9.4,7.5,11.3,25.9
Vranoviči,101,22,4.58,5.1,6.9,11.2,41.6,3.82,9.4,7.5,11.2,13.7
Tušev Dol,66,21,3.09,3.9,6.8,23.9,43.9,2.83,9.3,7.4,11.1,26.4
Otovec,50,17,2.59,3.8,6.6,23.1,37.9,2.72,9.1,7.3,10.9,25.6
Kvasica,42,7,4.3,5.0,6.5,23.6,44.2,0.98,9.0,7.2,10.9,26.1
Dobliče,141,30,3.87,4.8,6.2,23.3,43.9,0.02,8.7,7.0,10.5,25.8
Čudno selo,100,7,2.95,4.1,6.0,20.7,45.0,2.39,8.5,6.8,10.3,23.2
Dolenja vas pri Črnomlju,72,11,1.83,2.2,5.3,20.8,44.3,1.28,7.8,6.3,9.4,23.3
Blatnik pri Črnomlju,147,38,2.8,3.6,4.9,21.9,42.5,1.07,7.4,5.9,8.8,24.4
Zajčji Vrh,12,3,2.13,2.8,4.7,21.8,42.4,2.54,7.2,5.8,8.7,24.3
Dolnja Paka,33,11,1.69,2.5,4.4,21.5,42.1,2.1,6.9,5.6,8.3,24.0
Lokve,544,66,2.65,2.9,4.3,20.8,35.3,2.56,6.8,5.5,8.2,23.3
Kanižarica,585,110,2.17,2.6,3.8,20.9,41.5,1.66,6.3,5.0,7.5,23.4
Vojna vas,110,31,1.19,1.4,3.2,18.7,42.2,0.77,5.7,4.6,6.9,21.2
Svibnik,97,31,1.15,1.4,2.3,19.4,40.0,1.37,4.8,3.8,5.8,21.9
Črnomelj,5432,1478,0.7,0.8,1.6,18.0,40.6,0.11,4.1,3.3,4.9,20.5
