naselje,prebivalci_2026,prebivalci_65_2026,voznja_prebivalca_min_spodaj,voznja_prebivalca_min_zgoraj,razdalja_km_OSRM,modela_izbereta_razlicni_poti,nujna_voznja_min_spodaj,nujna_voznja_min_zgoraj,dostopni_cas_NMP_min_spodaj,dostopni_cas_NMP_osrednja,dostopni_cas_NMP_min_zgoraj,vir_casov
Otovec,50,17,6.6,7.2,3.8,ne,5.3,5.8,7.3,7.5,9.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Kvasica,42,7,7.8,8.4,5.8,ne,5.2,6.2,7.2,7.7,10.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Sela pri Otovcu,64,13,6.9,7.4,3.9,ne,5.5,6.0,7.5,7.7,9.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Vranoviči,101,22,6.8,7.4,5.1,ne,5.5,6.0,7.5,7.7,10.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Čudno selo,100,7,6.0,9.1,4.1,ne,4.8,7.2,6.8,8.0,11.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Gorenja Paka,,,7.1,8.2,4.7,ne,5.7,6.5,7.7,8.1,10.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Rožanec,50,9,6.8,7.9,4.7,ne,5.8,6.4,7.8,8.1,10.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Tušev Dol,66,21,6.8,8.4,3.9,ne,5.4,6.7,7.4,8.1,10.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Jerneja vas,51,13,8.7,8.9,5.4,ne,5.9,6.5,7.9,8.2,10.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Jelševnik,133,27,7.1,8.7,4.1,ne,5.7,7.0,7.7,8.3,11.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Petrova vas,100,23,7.2,8.5,5.1,ne,5.8,6.9,7.8,8.3,11.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dragovanja vas,104,25,8.9,9.8,6.1,ne,6.1,7.2,8.1,8.7,11.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Mihelja vas,41,9,7.5,9.2,5.7,ne,6.1,7.4,8.1,8.7,11.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Ručetna vas,137,33,7.7,10.0,6.0,ne,6.2,8.0,8.2,9.1,12.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Stražnji Vrh,198,44,8.0,10.1,4.9,ne,6.3,8.0,8.3,9.1,12.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Doblička Gora,83,21,9.6,10.6,6.5,ne,6.6,7.9,8.6,9.2,12.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Talčji Vrh,29,10,8.5,9.1,4.5,ne,7.3,7.3,9.3,9.3,11.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Desinec,61,14,7.2,11.7,5.1,ne,5.8,9.2,7.8,9.5,14.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Rožič Vrh,52,13,8.6,10.6,5.0,ne,6.8,8.4,8.8,9.6,13.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zastava,21,11,9.2,9.8,5.3,ne,7.3,7.8,9.3,9.6,12.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Grič pri Dobličah,82,17,10.2,11.4,6.7,ne,7.1,8.5,9.1,9.8,13.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Butoraj,127,29,10.2,10.6,4.6,ne,8.1,8.3,10.1,10.2,12.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Tanča Gora,241,61,10.3,12.1,6.8,ne,7.3,9.2,9.3,10.2,14.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Sela pri Dragatušu,72,21,11.1,11.6,7.7,ne,7.9,8.8,9.9,10.4,13.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Mavrlen,85,23,9.4,12.8,5.8,ne,7.5,10.4,9.5,10.9,15.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Naklo,52,15,10.6,12.9,5.4,ne,8.4,10.3,10.4,11.3,15.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Pavičiči,23,4,8.9,14.8,6.3,ne,7.2,11.8,9.2,11.5,17.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Breznik,24,9,12.8,13.8,8.5,ne,9.2,10.4,11.2,11.8,15.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Tribuče,314,78,11.2,13.4,6.8,ne,9.0,10.6,11.0,11.8,15.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zorenci,23,5,11.6,13.2,5.2,ne,9.3,10.5,11.3,11.9,15.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dragatuš,209,62,12.8,14.2,9.3,ne,9.3,10.9,11.3,12.1,16.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Rodine,137,32,12.3,13.9,6.1,ne,9.8,11.2,11.8,12.5,16.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Velika Lahinja,37,12,13.2,13.5,5.6,ne,10.4,10.8,12.4,12.6,16.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Obrh pri Dragatušu,87,21,14.2,14.6,9.5,ne,10.3,11.1,12.3,12.7,16.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Golek,35,9,14.1,14.7,8.9,ne,10.3,11.3,12.3,12.8,16.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Bistrica,1,0,12.8,15.6,8.9,ne,10.2,11.9,12.2,13.0,17.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Veliki Nerajec,75,16,14.0,15.8,10.6,ne,10.2,12.2,12.2,13.2,17.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Mali Nerajec,46,10,14.3,16.2,11.4,ne,10.4,12.7,12.4,13.6,18.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolenji Suhor pri Vinici,34,6,14.7,16.7,12.0,ne,10.7,12.8,12.7,13.8,18.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Pusti Gradec,26,7,15.1,16.3,10.9,ne,11.1,12.6,13.1,13.9,18.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Podlog,57,15,15.1,17.4,10.3,ne,11.1,13.4,13.1,14.3,19.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Cerkvišče,57,20,10.8,20.9,8.7,ne,8.6,16.6,10.6,14.6,23.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Bedenj,70,26,14.3,17.4,9.0,ne,11.5,13.8,13.5,14.7,19.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Griblje,329,73,10.4,22.2,10.2,da,8.4,17.7,10.4,15.1,24.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Gornji Suhor pri Vinici,50,9,16.2,18.8,12.7,ne,12.0,14.5,14.0,15.2,20.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Brdarci,33,10,18.1,18.5,7.7,ne,12.6,14.4,14.6,15.5,20.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Mala Lahinja,21,0,17.0,18.8,12.5,ne,12.6,14.6,14.6,15.6,20.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Miklarji,0,0,15.7,19.2,11.4,ne,12.5,14.7,14.5,15.6,20.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Stara Lipa,88,22,16.4,19.4,13.9,ne,12.2,15.0,14.2,15.6,21.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Belčji Vrh,99,22,17.6,19.7,12.9,ne,13.1,15.3,15.1,16.2,21.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Pribinci,51,22,16.3,19.4,9.7,ne,13.0,15.5,15.0,16.2,21.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Jankoviči,51,11,16.3,20.0,10.2,ne,13.1,15.9,15.1,16.5,22.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zapudje,76,20,18.7,19.8,12.0,ne,14.0,15.3,16.0,16.6,21.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Šipek,22,6,18.3,18.7,7.8,ne,14.5,14.8,16.5,16.7,21.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolenjci,87,23,16.7,20.6,10.8,ne,13.4,16.4,15.4,16.9,23.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Nova Lipa,85,24,18.7,22.1,15.4,ne,13.9,17.1,15.9,17.5,23.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Črešnjevec pri Dragatušu,6,0,19.4,21.3,13.5,ne,14.6,16.6,16.6,17.6,23.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Knežina,34,6,19.6,21.9,13.7,ne,14.7,17.1,16.7,17.9,23.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Fučkovci,37,9,18.1,22.2,11.7,ne,14.5,17.7,16.5,18.1,24.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Purga,25,8,18.6,22.9,12.1,ne,14.9,18.3,16.9,18.6,25.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Drežnik,35,11,20.2,24.0,16.4,ne,15.1,18.6,17.1,18.8,25.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Bojanci,77,23,19.1,23.9,12.3,ne,15.3,19.1,17.3,19.2,26.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Hrast pri Vinici,182,31,19.8,25.3,16.7,ne,14.9,19.8,16.9,19.3,27.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Drenovec,133,40,24.8,27.3,17.3,ne,15.5,19.4,17.5,19.5,26.8,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Adlešiči,106,35,20.0,24.6,13.0,ne,16.0,19.6,18.0,19.8,27.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dragoši,26,4,13.6,24.9,12.1,ne,16.2,19.8,18.2,20.0,27.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Podbrežje,,,20.3,24.7,12.8,ne,16.3,19.7,18.3,20.0,27.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Gorenjci pri Adlešičih,51,15,21.6,26.6,14.0,ne,17.3,21.3,19.3,21.3,29.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Velika sela,21,5,22.2,26.3,13.1,ne,17.7,20.9,19.7,21.3,28.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Vrhovci,54,12,22.8,28.3,14.8,ne,18.3,22.6,20.3,22.4,30.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Ogulin,37,12,25.7,26.1,17.1,ne,20.1,20.9,22.1,22.5,28.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Mala sela,18,5,23.3,29.2,13.7,ne,18.6,23.2,20.6,22.9,31.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Marindol,91,29,23.6,29.2,15.3,ne,18.9,23.3,20.9,23.1,31.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Vinica,245,55,26.4,26.9,17.7,ne,20.6,21.6,22.6,23.1,29.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Perudina,61,13,25.2,28.9,16.4,ne,20.1,22.6,22.1,23.4,30.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Sečje selo,100,23,27.6,27.9,18.2,ne,21.6,22.4,23.6,24.0,30.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Stari trg ob Kolpi,83,27,26.6,31.9,18.5,ne,20.3,25.0,22.3,24.6,33.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Golek pri Vinici,54,12,28.7,29.4,18.2,ne,22.9,23.0,24.9,24.9,31.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Podklanec,87,30,28.8,29.4,18.9,ne,23.0,23.1,25.0,25.1,31.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Damelj,33,11,27.1,33.3,21.2,ne,20.6,26.0,22.6,25.3,35.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Miliči,20,6,28.0,34.7,18.4,ne,22.4,27.7,24.4,27.0,37.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zilje,139,42,30.3,33.5,21.2,ne,24.2,26.3,26.2,27.2,35.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Sinji Vrh,71,24,29.8,35.9,22.8,ne,22.8,28.2,24.8,27.5,37.7,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Draga pri Sinjem Vrhu,19,5,30.3,35.7,22.4,ne,23.2,28.0,25.2,27.6,37.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Učakovci,105,33,33.2,33.9,20.6,ne,26.1,27.1,28.1,28.6,36.4,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolenji Radenci,21,5,31.5,37.2,20.7,ne,24.2,29.2,26.2,28.7,39.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Zagozdac,20,4,30.3,37.2,23.6,ne,24.2,29.2,26.2,28.7,39.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Žuniči,44,13,29.8,37.0,19.5,ne,23.9,29.6,25.9,28.8,39.6,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Balkovci,44,12,32.0,37.2,23.4,ne,25.6,29.3,27.6,29.4,39.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Paunoviči,27,12,31.0,38.4,20.3,ne,24.9,30.7,26.9,29.8,40.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Gorica,11,3,33.0,39.4,24.4,ne,25.3,30.9,27.3,30.1,41.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Gorenja Podgora,25,6,32.4,39.3,24.3,ne,25.9,30.9,27.9,30.4,41.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Sodevci,33,12,33.6,40.1,22.8,ne,25.9,31.6,27.9,30.7,42.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Vukovci,33,10,36.2,36.8,21.9,ne,28.5,29.4,30.5,31.0,39.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Preloka,103,27,33.0,40.7,21.8,ne,26.4,32.4,28.4,31.4,43.1,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dolenja Podgora,8,0,34.2,41.1,25.0,ne,27.3,32.3,29.3,31.8,42.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Hrib,32,9,34.5,42.0,23.7,ne,26.7,33.2,28.7,31.9,43.9,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Špeharji,11,8,34.9,42.3,24.1,ne,26.8,33.4,28.8,32.1,44.3,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Dalnje Njive,16,5,38.1,39.4,26.3,ne,29.5,30.9,31.5,32.2,41.2,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Breg pri Sinjem Vrhu,1,0,37.1,44.7,25.2,ne,28.6,35.2,30.6,33.9,46.5,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
Selce pri Špeharjih,2,0,37.4,45.0,25.3,ne,28.9,35.6,30.9,34.2,47.0,"razpon dveh odprtokodnih modelov (OSRM in Valhalla), še neumerjeno na Google Maps"
