id;ime;vrsta;datoteka;gpx_ime;km;km_v_obcini;delez_v_obcini;v_obcini;segmenti;tocke;max_razmik_m;neveljavne_tocke;visina_min;visina_max;cas_prvi;cas_zadnji;zacetek_konec_m;sha256;geometrija_hash
11;Kolesarska pot Ravnače;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_ravnace.gpx;Metlika Kolesarjenje;24.181347759379207;0.0;0.0;False;1;1313;141.51759315709714;0;160.3;467.0;2020-06-26T11:42:51.000Z;2020-06-26T12:42:56.584Z;15.231801728199192;7be45b8af3945a8aeae0e09e535bdafc69c242e4d17672d01a6e5e067e8b339f;57714ed76d65504c173e889f30af1ee8ec4ff9534f8af8d5365397dfbd952208
12;Kolesarska pot Vidošiči;kolesarstvo;viri/gpx/kolesarstvo/kolesarska_pot_vidosici.gpx;Metlika Kolesarjenje;18.299881117991582;0.0;0.0;False;1;1215;165.29588478054313;0;130.3;315.0;2020-06-24T09:28:12.000Z;2020-06-24T10:18:00.444Z;26.844586294824495;280122b1306352645911b2c417f08a11844ac62dcfc2624383cf751f7bacd1a1;f00b07f68dcaa2771eaa3301ae23d87d01284db63e935e1415af9d92674c98f1
13;Poljanska kolesarska pot;kolesarstvo;viri/gpx/kolesarstvo/poljanska_kolesarska_pot.gpx;Črnomelj Kolesarjenje;55.789982137272325;46.312332886944745;83.01191560340055;True;1;2581;159.85254279887488;0;140.0;643.5;2020-07-05T06:04:24.164Z;2020-07-05T08:41:50.587Z;12.150349290903895;61c5c68780d9208c5efe15e08f189a897d21774a3db5eed6f52070af3f9f4b7a;d4e0608779a97fa432b24837c420278c27c46807a75d802ed67461833f5f7a60
14;STKP etapa 22: Mirna gora–Gospodična;kolesarstvo;viri/gpx/kolesarstvo/turnokolesarska_3048_stkp_etapa_22_planinski_dom_na_mirni_gori_planinski_dom_pri_gospodicni_na_gorjancih.gpx;Turnokolesarska 3048 STKP, etapa 22: Planinski dom na Mirni gori-Planinski dom pri Gospodični na Gorjancih;63.37213641820825;17.167810903654637;27.090472049671877;True;1;1567;438.4531990342171;0;137.08999633789062;999.0900268554688;;;21456.505471755056;be60c48487fcf9ffffaed62da9c56cb6a6aecbdbfca3a49091b40b0d5fecd5b8;32cd57c2fc13aace053a8a926e0af341f0475d46d187e8fc8f4aa9791bf877b5
15;STKP etapa 21: Jelenov studenec–Mirna gora;kolesarstvo;viri/gpx/kolesarstvo/turnokolesarska_3049_stkp_etapa_21_koca_pri_jelenovem_studencu_planinski_dom_na_mirni_gori.gpx;Turnokolesarska 3049 STKP, etapa 21: Koča pri Jelenovem studencu-Planinski dom na Mirni gori;51.548224347531864;0.0;0.0;False;1;2204;475.62110208303443;0;458.5;1000.5;;;19959.72679502229;59bf22b5dca5cab41fd8fa1c3fe584ea69a594dbe98a9ded7866039df47f22b4;9aa7f4d35555d32791da23b4f67f8baa943744cdee6d793aa8a0f34c92cb1a06
16;Župančičeva kolesarska pot;kolesarstvo;viri/gpx/kolesarstvo/zupanciceva_kolesarska_pot.gpx;Črnomelj Kolesarjenje;48.40494058989164;48.40494058989164;100.0;True;1;2209;204.32995148197418;0;143.8;299.5;2020-06-21T08:12:35.000Z;2020-06-21T10:23:10.002Z;9.958973818882988;0d6b309c986a75bbaedf9ea976b30b99e0fd17c1ed9c0314592f4c3365377748;0e5fd4865587592d719e1822c5dd0c37e9b9abbc8bc5eb8913e6c84dd325f9c7
17;Čredniška pot;pohodnistvo;viri/gpx/pohodnistvo/credniska_pot.gpx;Track 20220816-181456;14.967486638744925;12.873111965916701;86.0071719228617;True;1;5137;31.244605972647445;0;221.0;439.0;2022-08-16T16:14:56.000Z;2022-08-16T21:12:11.024Z;9.553736298110241;99bb273afa28475e0e151c9785cec454cc614be5a0da99861e869b30d97a7b67;3f9088cfd11bc4fb9ee0eef147aa6fe139cca49fbcc4fe52d3a823450eaf9f24
18;Grajska gozdna učna pot Obrh;pohodnistvo;viri/gpx/pohodnistvo/grajska_gozdna_ucna_pot_obrh.gpx;;7.036450280979103;7.0364502809791105;100.00000000000011;True;1;2544;58.815582987311316;0;151.17411098536104;331.2440903028473;2024-07-13T17:09:43Z;2024-07-13T19:15:48Z;6.900694752434169;e8eba99d6c1fdfce5febe8f41939eb6fd461ba3d61f69de4c961da39a3536b95;a47d6a7845706b8783eadef3da8f970122ae9bf9946a6eca45a1c1e0e6decf95
19;Jožefov pohod;pohodnistvo;viri/gpx/pohodnistvo/jozefov_pohod.gpx;rte1;13.783440594551523;13.783440594551525;100.00000000000003;True;1;1571;73.27666618551459;0;145.0;225.0;;;40.52545287359277;04be70a6614776b2f54e8b296c1cdbc4258612d0338462b1f58b280f42b88a52;57b9bffedab397a6935a939519f15287cf05da5f69f0dadac2c51d36a9a8d232
20;Kraška učna pot od Lebice do Krupe;pohodnistvo;viri/gpx/pohodnistvo/kraska_ucna_pot_od_lebice_do_krupe.gpx;rte1;12.510655845346689;0.0;0.0;False;1;1465;105.03108461085124;0;140.0;236.0;;;47.20647346174468;c29b7e1118f8b2e7267b975a169cd26df45dbfced2c01e7fde5cd3234993fde7;060031feac4a2d507f7e67edc13976c8ffcb956bad9f48dcc2202281e4281c06
21;Krupa–Moverna vas;pohodnistvo;viri/gpx/pohodnistvo/krupa_moverna_vas.gpx;New file 2;2.8754668238120478;0.0;0.0;False;1;146;116.58883855612865;0;145.54;161.69;;;2.353647385651084;675f500b04903efc5973752b77cb230999aabdd6f36466fa792117199bd2a43e;954c1e91c9a08ff3994f40a0988e45c28ef9a33075dd0aea1970a56aa932b02d
22;Martinov pohod;pohodnistvo;viri/gpx/pohodnistvo/martinov_pohod.gpx;rte1;18.52832032537574;0.0;0.0;False;1;2337;164.78172248047724;0;156.6;545.0;;;49.984675084451005;d0ff1f46473f6972148179f828f23fc0a8f90df82036f922d6c1bf6e4bd04767;6ba175a568e99ee5c87f8b06b2116a5715417bd86d740ad6fbe20144670af4fd
23;Mlinarska pot;pohodnistvo;viri/gpx/pohodnistvo/mlinarska_pot.gpx;rte1;8.734439993314608;8.734439993314611;100.00000000000004;True;1;975;192.58780743647574;0;165.0;215.0;;;6112.11944296172;b01be42017d3e59b11654fee04b69409ef486771c5ed7af6eec47d817230545d;4a9a459d7e7c979f498b6668d518105fc026fafff3460f1719f32a491a37ce24
24;Najjužnejša slovenska pešpot Radenci–Damelj;pohodnistvo;viri/gpx/pohodnistvo/najjuznejsa_slovenska_pespot_od_radencev_do_damlja.gpx;rte1;10.899967505116717;10.899967505116711;99.99999999999996;True;1;1187;122.62376083085898;0;170.0;222.48;;;8188.250317965357;269ab29aaf2a8ba6f1bd6b2fd64160e66f24500e1c237ba4cf29f244a2241b52;ff407da99d061257e6a7e91a643d5ba5a047e53d39266a54b491b51b3c64143f
25;Obkolpska grajska pot;pohodnistvo;viri/gpx/pohodnistvo/obkolpska_grajska_pot.gpx;rte1;13.887065168611;13.887065168610981;99.99999999999986;True;1;1544;82.30655301258142;0;145.0;272.22;;;9417.383225292637;04b4d473f4dae1c78bc4d76f442d17c55ebbc2578891d4d6a52f9eeab1ed7b66;cd9ea679c0a621f46523d453ca81780386379394e9d0323f6d6909c0ec7fe796
26;Pastirska pot;pohodnistvo;viri/gpx/pohodnistvo/pastirska_pot.gpx;rte1;10.122162407844193;0.0;0.0;False;1;1400;53.2084707801444;0;731.29;935.0;;;19.501332865327186;860a75ae64d99e4006c5e9e4abc76e14e2da2470fe893c22b42cf5716f1388fd;5ddcd0f7762490c8b76132ff44da4181f3bc2d8e1ba76421a4d4100e20611567
27;Planinska krožna pot;pohodnistvo;viri/gpx/pohodnistvo/planinska_krozna_pot.gpx;planinska_krozna_pot-1;18.873100396265958;0.0;0.0;False;1;2122;135.86914410815052;0;140.0;532.9;;;379.14638414278795;73fe6b6a032f2b134e62995977b63656ed44dd5fd783a8d8bffed2307aa69f58;ff0f7dd36d07926608745edbf9ef2ba7f29f4bfa9c2c10baade48f6dd0bc8859
28;Pot Gozdna železnica;pohodnistvo;viri/gpx/pohodnistvo/pot_gozdna_zeleznica.gpx;rte1;4.093894918624531;0.03833061664648235;0.9362872620912482;True;1;463;99.31104060652753;0;739.21;824.55;;;16.32651811633156;a5822e940d5ec0b16e368708a2d32263a83e77edf35e50a1b728c2a634567478;89b95dfe4078130257da04e37ff0d038b22b0fade5cb1610fa7977df35c88215
29;Pot na Smuk – Gornje Laze;pohodnistvo;viri/gpx/pohodnistvo/pot_na_smuk_gornje_laze.gpx;rte1;6.354221405490485;0.0;0.0;False;1;758;93.51922813652801;0;244.3;545.0;;;5190.713111739461;048e3a46be8c77c15f4e3c53edd77cfb73c17391726d25b3e85586f24c934803;e9bfe1e2a52eeb10aac9a6d2df7846588a0cd799a822a4d546c975d3d304ece0
30;Ribja pot – srčna pot Svibnik;pohodnistvo;viri/gpx/pohodnistvo/ribja-pot.gpx;Ribja pot-srčna pot Svibnik;4.641854456791397;4.641854456791398;100.00000000000003;True;1;373;115.62259624188953;0;143.57642;183.11225;;;164.01008239921356;28a52385c99501bb1339d456c03d2d75d6d823ae2c5d7e14a158f1ff5cadbd37;059e267350c1325e8b908d0f00759e3569459b4e742b8c7fce9f2cde60d7f370
31;Sejemska pešpot Vinica–Žuniči;pohodnistvo;viri/gpx/pohodnistvo/sejemska_pespot_vinica_zunici.gpx;rte1;23.96744961276925;23.96744961276919;99.99999999999974;True;1;2532;114.02868391061186;0;160.0;330.0;;;195.54639754073168;b205d74021bc47688c88a6f1bd62914d5c901cdf8856da33031b5b7ddc986c81;a1bba45601ebe0b9f123429f69492d8d85ab0fd4b087e7ed0d236f0fa8928f9e
32;Trdinova pot;pohodnistvo;viri/gpx/pohodnistvo/trdinova_pot.gpx;trdinova_pot_1776861189;31.259650618055115;0.0;0.0;False;1;771;100.0607394816025;0;353.6;1045.3;;;16674.009658797455;ab648060dc7fde001178f62c8fe2fe50e5d0d362645a9e8dd1e124536afd2cbd;cc2d2f2babe50aa4c246ca747f79fd34b2634ac02c502f13d14183f92401253c
33;Trška pešpot;pohodnistvo;viri/gpx/pohodnistvo/trska_pespot.gpx;rte1;7.691187043130154;7.691187043130154;100.0;True;1;660;194.2793977717109;0;185.0;380.0;;;34.03713701039425;2019eb880cd068ce8070380ad666ebe2a350f5b5904259d57a5314ce65833786;ba2da52eb6a6adc463c28b6335341693de5c0bd9c84f838672547c3af8cd976e
34;Učna pot – srčna pot Svibnik;pohodnistvo;viri/gpx/pohodnistvo/ucna-pot.gpx;Učna pot - srčna pot Svibnik;12.28406671917816;12.284066719178169;100.00000000000007;True;1;391;186.0600592614782;0;139.93622;167.50978;;;783.8296081233514;dfb4977ec1625134fa8cfd2ab96895c0a412a3c474cb0cd594d30efb3ad5a454;e109acb04eaf8523bdf5cef6beea7a9d5088bc0f52d1244d2529d6fca522e873
35;Učna pot Divji potok;pohodnistvo;viri/gpx/pohodnistvo/ucna_pot_divji_potok.gpx;rte1;1.586798123710346;0.0;0.0;False;1;218;38.7494956175669;0;390.0;430.0;;;24.380340496197277;699270cef657243a20339ffdd2310d4a775e5ec4d14578863c369fbdeab3b456;dd6d244c9fa10a0f0a3a2eca795eb54311f62a27aeda95983e7fc92045bbda94
36;Učna pot Grički kal;pohodnistvo;viri/gpx/pohodnistvo/ucna_pot_gricki_kal.gpx;rte1;4.609183144076294;4.609183144076295;100.00000000000003;True;1;439;102.02249035302214;0;317.14;500.0;;;21.508327128104213;5877e162a209e5a17ee76c3a5911ca64bfecc17f0d0bfc611bf53eba077509b9;7ef80b7fb76f30db733881f297fab021b013f2969ee11b0f8b63a0cdda1c130c
37;Učna pot Kučar–Kolpa;pohodnistvo;viri/gpx/pohodnistvo/ucna_pot_kucar_kolpa.gpx;rte1;2.913708489250781;0.0;0.0;False;1;371;67.37580016243506;0;135.8;220.0;;;36.186718207277536;a810d0f53329b6178f94b1d4d0ebdc1891cf6518ee32244968b0ffa12df7a974;bb1997bb3b4792573d3e377bad63bae69b7edaf551a87d17e57d8532903bc075
38;Učna pot Mirna gora;pohodnistvo;viri/gpx/pohodnistvo/ucna_pot_mirna_gora.gpx;rte1;2.7320282041394606;0.0;0.0;False;1;349;53.934993783085375;0;730.0;940.0;;;16.00140638627968;e28606cbc5ba9d2dfcc368ad9302334335c20102424daf71323b579177edd393;facbe6eaf4cc71e7f59c16ad3f1d2d67d104330c965236e818d75ba64c251cf8
39;Učna pot Zdenc–Vidovec;pohodnistvo;viri/gpx/pohodnistvo/ucna_pot_zdenc_vidovec.gpx;rte1;2.115988190474131;0.0;0.0;False;1;313;10.001135931654844;0;130.0;175.0;;;22.674419493799462;eb83dca1670d108272d7187d82a7b567e1eeafb96f1ac3d9785ea986aef5cc63;d6c0ed170c2b9c932a469e363c1d3a74e244707ad15afc6fd56a42ba44751bb4
40;Učno-rekreacijska pot Dobličica;pohodnistvo;viri/gpx/pohodnistvo/ucno_rekreacijska_pot_doblicica.gpx;Morning Ride;10.726136145327953;10.726136145327956;100.00000000000003;True;1;1166;142.66868519620238;0;140.8;168.3;2024-07-07T08:42:49.000Z;2024-07-07T09:14:43.609Z;3.608986357159371;d4649aeede17ab5b9c685770990d289c2417f0a1adaa8154d44138cec307cc81;8d1eeaa31821fb56ddddc1d9c234b29509bcdf98b6f35029e13c6e2df52f3088
41;Urbanova pot;pohodnistvo;viri/gpx/pohodnistvo/urbanova_pot.gpx;rte1;5.745422069360423;0.0;0.0;False;1;781;135.86914410815052;0;162.59;325.0;;;119.46636708847687;3ea2a95f4e3a120c755ced43ed37a0973d0fe4f0bdd6924850c84d8e1c82b946;b5c200dbfc827be71fee2ae884c6f94b442da17797c60b46f929048496c0a11b
42;Župančičeva pot;pohodnistvo;viri/gpx/pohodnistvo/zupanciceva_pot.gpx;rte1;12.725472349759356;12.725472349759356;100.0;True;1;1595;81.80438157560297;0;150.0;328.48;;;9042.668129717695;9cfa01821e17bb3b06f825d8cc97a9fd032c27ab6904942fd5a49cbb8b05afb0;0d350a8b870c81814587bfb20a28e0e265b4d61d060187a1cd853219fe81a3d2
