kazalnik,izdaja,obmocje,vrednost
K2.2,2024,Črnomelj,32.3
K2.2,2024,JV Slovenija,27.04
K2.2,2024,Slovenija,24.95
K2.2,2025,Črnomelj,29.9
K2.2,2025,JV Slovenija,26.45
K2.2,2025,Slovenija,23.39
K2.2,2026,Črnomelj,28.3
K2.2,2026,JV Slovenija,26.65
K2.2,2026,Slovenija,24.18
K2.6,2016,Črnomelj,18.9
K2.6,2016,JV Slovenija,10.3
K2.6,2016,Slovenija,8.7
K2.6,2017,Črnomelj,17
K2.6,2017,JV Slovenija,10.1
K2.6,2017,Slovenija,8.7
K2.6,2018,Črnomelj,15.6
K2.6,2018,JV Slovenija,10.2
K2.6,2018,Slovenija,9
K2.6,2019,Črnomelj,14.29
K2.6,2019,JV Slovenija,9.99
K2.6,2019,Slovenija,9.05
K2.6,2020,Črnomelj,13.3
K2.6,2020,JV Slovenija,9.6
K2.6,2020,Slovenija,9.1
K2.6,2021,Črnomelj,11.8
K2.6,2021,JV Slovenija,9.4
K2.6,2021,Slovenija,8.8
K2.6,2022,Črnomelj,11.4
K2.6,2022,JV Slovenija,9.7
K2.6,2022,Slovenija,8.9
K2.6,2023,Črnomelj,12
K2.6,2023,JV Slovenija,9.6
K2.6,2023,Slovenija,8.5
K2.6,2024,Črnomelj,13.16
K2.6,2024,JV Slovenija,9.57
K2.6,2024,Slovenija,8.48
K2.6,2025,Črnomelj,12.98
K2.6,2025,JV Slovenija,9.63
K2.6,2025,Slovenija,8.37
K2.6,2026,Črnomelj,12.94
K2.6,2026,JV Slovenija,9.46
K2.6,2026,Slovenija,8.22
K3.4,2016,Črnomelj,
K3.4,2016,JV Slovenija,
K3.4,2016,Slovenija,
K3.4,2017,Črnomelj,
K3.4,2017,JV Slovenija,
K3.4,2017,Slovenija,
K3.4,2018,Črnomelj,
K3.4,2018,JV Slovenija,
K3.4,2018,Slovenija,
K3.4,2019,Črnomelj,
K3.4,2019,JV Slovenija,
K3.4,2019,Slovenija,
K3.4,2020,Črnomelj,64.4
K3.4,2020,JV Slovenija,73.9
K3.4,2020,Slovenija,76.2
K3.4,2021,Črnomelj,78.7
K3.4,2021,JV Slovenija,79.1
K3.4,2021,Slovenija,77.5
K3.4,2022,Črnomelj,79.1
K3.4,2022,JV Slovenija,79.2
K3.4,2022,Slovenija,76.7
K3.4,2023,Črnomelj,81.4
K3.4,2023,JV Slovenija,80.1
K3.4,2023,Slovenija,78
K3.4,2024,Črnomelj,82.88
K3.4,2024,JV Slovenija,80.74
K3.4,2024,Slovenija,77.79
K3.4,2025,Črnomelj,82.25
K3.4,2025,JV Slovenija,80.68
K3.4,2025,Slovenija,77.9
K3.4,2026,Črnomelj,82.08
K3.4,2026,JV Slovenija,80.16
K3.4,2026,Slovenija,77.93
K4.6,2016,Črnomelj,26.5
K4.6,2016,JV Slovenija,25.9
K4.6,2016,Slovenija,23.7
K4.6,2017,Črnomelj,26.2
K4.6,2017,JV Slovenija,25.8
K4.6,2017,Slovenija,23.5
K4.6,2018,Črnomelj,26.1
K4.6,2018,JV Slovenija,25.7
K4.6,2018,Slovenija,23.4
K4.6,2019,Črnomelj,25.79
K4.6,2019,JV Slovenija,25.51
K4.6,2019,Slovenija,23.18
K4.6,2020,Črnomelj,25.3
K4.6,2020,JV Slovenija,25.3
K4.6,2020,Slovenija,23
K4.6,2021,Črnomelj,25.3
K4.6,2021,JV Slovenija,25.1
K4.6,2021,Slovenija,22.9
K4.6,2022,Črnomelj,25
K4.6,2022,JV Slovenija,24.7
K4.6,2022,Slovenija,22.5
K4.6,2023,Črnomelj,24.8
K4.6,2023,JV Slovenija,24.5
K4.6,2023,Slovenija,22.4
K4.6,2024,Črnomelj,24.92
K4.6,2024,JV Slovenija,24.62
K4.6,2024,Slovenija,22.45
K4.6,2025,Črnomelj,25.24
K4.6,2025,JV Slovenija,24.76
K4.6,2025,Slovenija,22.47
K4.6,2026,Črnomelj,25.38
K4.6,2026,JV Slovenija,24.8
K4.6,2026,Slovenija,22.51
K4.8,2016,Črnomelj,2.1
K4.8,2016,JV Slovenija,1.8
K4.8,2016,Slovenija,1.9
K4.8,2017,Črnomelj,2.2
K4.8,2017,JV Slovenija,1.9
K4.8,2017,Slovenija,2
K4.8,2018,Črnomelj,2.2
K4.8,2018,JV Slovenija,2
K4.8,2018,Slovenija,2.1
K4.8,2019,Črnomelj,2.4
K4.8,2019,JV Slovenija,1.95
K4.8,2019,Slovenija,2.09
K4.8,2020,Črnomelj,2.9
K4.8,2020,JV Slovenija,2
K4.8,2020,Slovenija,2.1
K4.8,2021,Črnomelj,2.5
K4.8,2021,JV Slovenija,2
K4.8,2021,Slovenija,2.1
K4.8,2022,Črnomelj,2.4
K4.8,2022,JV Slovenija,1.9
K4.8,2022,Slovenija,2.1
K4.8,2023,Črnomelj,2.4
K4.8,2023,JV Slovenija,1.9
K4.8,2023,Slovenija,2
K4.8,2024,Črnomelj,1.98
K4.8,2024,JV Slovenija,1.92
K4.8,2024,Slovenija,1.96
K4.8,2025,Črnomelj,1.7
K4.8,2025,JV Slovenija,1.97
K4.8,2025,Slovenija,1.91
K4.8,2026,Črnomelj,1.66
K4.8,2026,JV Slovenija,1.9
K4.8,2026,Slovenija,1.86
K4.9,2016,Črnomelj,2.9
K4.9,2016,JV Slovenija,2.3
K4.9,2016,Slovenija,2.6
K4.9,2017,Črnomelj,2.8
K4.9,2017,JV Slovenija,2.4
K4.9,2017,Slovenija,2.6
K4.9,2018,Črnomelj,3
K4.9,2018,JV Slovenija,2.5
K4.9,2018,Slovenija,2.6
K4.9,2019,Črnomelj,3.04
K4.9,2019,JV Slovenija,2.52
K4.9,2019,Slovenija,2.57
K4.9,2020,Črnomelj,2.8
K4.9,2020,JV Slovenija,2.5
K4.9,2020,Slovenija,2.6
K4.9,2021,Črnomelj,2.6
K4.9,2021,JV Slovenija,2.6
K4.9,2021,Slovenija,2.5
K4.9,2022,Črnomelj,2.7
K4.9,2022,JV Slovenija,2.5
K4.9,2022,Slovenija,2.5
K4.9,2023,Črnomelj,2.4
K4.9,2023,JV Slovenija,2.5
K4.9,2023,Slovenija,2.4
K4.9,2024,Črnomelj,2.28
K4.9,2024,JV Slovenija,2.34
K4.9,2024,Slovenija,2.3
K4.9,2025,Črnomelj,2.17
K4.9,2025,JV Slovenija,2.28
K4.9,2025,Slovenija,2.26
K4.9,2026,Črnomelj,2.26
K4.9,2026,JV Slovenija,2.15
K4.9,2026,Slovenija,2.21
K4.4,2016,Črnomelj,1.7
K4.4,2016,JV Slovenija,2.3
K4.4,2016,Slovenija,2
K4.4,2017,Črnomelj,1.6
K4.4,2017,JV Slovenija,2.1
K4.4,2017,Slovenija,1.9
K4.4,2018,Črnomelj,1.5
K4.4,2018,JV Slovenija,2.1
K4.4,2018,Slovenija,2
K4.4,2019,Črnomelj,1.75
K4.4,2019,JV Slovenija,2.02
K4.4,2019,Slovenija,1.98
K4.4,2020,Črnomelj,1.9
K4.4,2020,JV Slovenija,1.9
K4.4,2020,Slovenija,1.9
K4.4,2021,Črnomelj,1.9
K4.4,2021,JV Slovenija,1.8
K4.4,2021,Slovenija,1.9
K4.4,2022,Črnomelj,2
K4.4,2022,JV Slovenija,1.7
K4.4,2022,Slovenija,1.8
K4.4,2023,Črnomelj,1.7
K4.4,2023,JV Slovenija,1.5
K4.4,2023,Slovenija,1.7
K4.4,2024,Črnomelj,1.59
K4.4,2024,JV Slovenija,1.44
K4.4,2024,Slovenija,1.64
K4.4,2025,Črnomelj,1.43
K4.4,2025,JV Slovenija,1.4
K4.4,2025,Slovenija,1.64
K4.4,2026,Črnomelj,1.21
K4.4,2026,JV Slovenija,1.36
K4.4,2026,Slovenija,1.61
K5.1,2016,Črnomelj,1041.5
K5.1,2016,JV Slovenija,1042.2
K5.1,2016,Slovenija,979.9
K5.1,2017,Črnomelj,1064.1
K5.1,2017,JV Slovenija,1026
K5.1,2017,Slovenija,958.9
K5.1,2018,Črnomelj,1061.9
K5.1,2018,JV Slovenija,1008.3
K5.1,2018,Slovenija,943
K5.1,2019,Črnomelj,1045.51
K5.1,2019,JV Slovenija,969.87
K5.1,2019,Slovenija,929.8
K5.1,2020,Črnomelj,1059.7
K5.1,2020,JV Slovenija,967.8
K5.1,2020,Slovenija,916.2
K5.1,2021,Črnomelj,1041
K5.1,2021,JV Slovenija,959.2
K5.1,2021,Slovenija,909
K5.1,2022,Črnomelj,1049.5
K5.1,2022,JV Slovenija,967.3
K5.1,2022,Slovenija,921.5
K5.1,2023,Črnomelj,1037.9
K5.1,2023,JV Slovenija,976.3
K5.1,2023,Slovenija,932.5
K5.1,2024,Črnomelj,1000.33
K5.1,2024,JV Slovenija,967.02
K5.1,2024,Slovenija,930.41
K5.1,2025,Črnomelj,964.77
K5.1,2025,JV Slovenija,951.2
K5.1,2025,Slovenija,922.3
K5.1,2026,Črnomelj,949.38
K5.1,2026,JV Slovenija,938.17
K5.1,2026,Slovenija,913.09
K5.7,2016,Črnomelj,17.1
K5.7,2016,JV Slovenija,21.3
K5.7,2016,Slovenija,21.7
K5.7,2017,Črnomelj,16.8
K5.7,2017,JV Slovenija,19.4
K5.7,2017,Slovenija,20.9
K5.7,2018,Črnomelj,11
K5.7,2018,JV Slovenija,16.8
K5.7,2018,Slovenija,20.1
K5.7,2019,Črnomelj,10.95
K5.7,2019,JV Slovenija,17.15
K5.7,2019,Slovenija,19.73
K5.7,2020,Črnomelj,12.4
K5.7,2020,JV Slovenija,16.9
K5.7,2020,Slovenija,18.7
K5.7,2021,Črnomelj,10.8
K5.7,2021,JV Slovenija,17.2
K5.7,2021,Slovenija,18.6
K5.7,2022,Črnomelj,9.9
K5.7,2022,JV Slovenija,17.3
K5.7,2022,Slovenija,17.9
K5.7,2023,Črnomelj,16.2
K5.7,2023,JV Slovenija,19.2
K5.7,2023,Slovenija,18.3
K5.7,2024,Črnomelj,16.88
K5.7,2024,JV Slovenija,19.43
K5.7,2024,Slovenija,18.1
K5.7,2025,Črnomelj,17.01
K5.7,2025,JV Slovenija,19.18
K5.7,2025,Slovenija,18.03
K5.7,2026,Črnomelj,17.1
K5.7,2026,JV Slovenija,18.96
K5.7,2026,Slovenija,17.63
